home_team,away_team,home_points,away_points
Notre Dame,Navy,42.0,3.0
Mercer,North Alabama,17.0,7.0
Jacksonville State,UTEP,17.0,14.0
San Diego State,Ohio,20.0,13.0
New Mexico State,UMass,30.0,41.0
Albany,Fordham,34.0,13.0
Jackson State,South Carolina State,37.0,7.0
Vanderbilt,Hawai'i,35.0,28.0
USC,San José State,56.0,28.0
Louisiana Tech,Florida International,22.0,17.0
New Haven,Frostburg State,24.0,27.0
Texas A&M-Commerce,UC Davis,10.0,48.0
Hiram,Heidelberg,14.0,68.0
Morehead State,West Virginia State,37.0,35.0
Lamar,Idaho,17.0,42.0
Kennesaw State,Tusculum,38.0,7.0
Northwood (MI),Glenville State,9.0,44.0
Keiser University,Mississippi College,14.0,17.0
Charleston Southern,North Greenville,13.0,10.0
Rowan,Stevenson,17.0,20.0
Saginaw Valley,Winona State,34.0,24.0
Wingate,Albany State (GA),30.0,7.0
Alderson-Broaddus,California (PA),0.0,0.0
UNC Pembroke,Fayetteville State,19.0,17.0
Barton College,Chowan,41.0,0.0
Walsh,West Liberty,24.0,21.0
West Alabama,Angelo State,14.0,38.0
Wheeling Jesuit,Seton Hill College,35.0,24.0
Southern Arkansas,Southeastern Oklahoma,34.0,19.0
Campbell,William & Mary,24.0,34.0
Southwestern Oklahoma,Ouachita Baptist,14.0,38.0
Indiana (PA),Ashland,24.0,17.0
Western Michigan,St Francis (PA),35.0,17.0
Southern Nazarene,Harding,20.0,53.0
UCF,Kent State,56.0,6.0
Wake Forest,Elon,37.0,17.0
Carson-Newman,Virginia Lynchburg,35.0,3.0
Charleston (WV),Gannon,22.0,13.0
Fairmont State,Bloomsburg,34.0,30.0
Minnesota-Duluth,Northern Michigan,47.0,10.0
Northwestern Oklahoma State,Arkansas-Monticello,24.0,49.0
Missouri S&T,Delta State,20.0,48.0
Millersville,St. Anselm,33.0,7.0
West Georgia,Limestone,21.0,19.0
Northeastern State,Fort Hays State,0.0,56.0
Bemidji State,Northern State,49.0,13.0
Quincy,Chadron State,34.0,35.0
Lincoln (PA),Clarion,20.0,30.0
Indiana State,Eastern Illinois,0.0,27.0
Georgia State,Rhode Island,42.0,35.0
Louisiana College,East Texas Baptist,34.0,14.0
Belhaven College,Millsaps,47.0,7.0
Lakeland University,Wisconsin-Platteville,13.0,80.0
McMurry,Birmingham-Southern,19.0,20.0
Furman,Tennessee Tech,45.0,10.0
Kentucky State,Clark Atlanta,34.0,20.0
Samford,Shorter,69.0,14.0
Stony Brook,Delaware,13.0,37.0
Wayne State (NE),Minnesota St-Moorhead,31.0,23.0
Sioux Falls,Minnesota State,26.0,54.0
Minot State,Southwest Minnesota State,23.0,28.0
Buffalo State,Brockport State (NY),6.0,42.0
East Stroudsburg,Pace,62.0,9.0
Concordia-St. Paul,Upper Iowa,43.0,20.0
Ferris State,Mercyhurst,54.0,12.0
Youngstown State,Valparaiso,52.0,10.0
Connecticut,NC State,14.0,24.0
Utah,Florida,24.0,11.0
Colorado Mines,Grand Valley State,31.0,28.0
Henderson State,East Central,41.0,13.0
Weber State,Central Washington,35.0,10.0
Minnesota,Nebraska,13.0,10.0
Missouri,South Dakota,35.0,10.0
Tulsa,Arkansas-Pine Bluff,42.0,7.0
Emporia State,Lincoln (MO),56.0,10.0
South Dakota State,Western Oregon,45.0,7.0
